REF;NAME;PVP03;PVP04;PVP02
0007440;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 8 (NIÑOS);2.4;2.64;2.88
0007441;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 9 (EXTRECHAMIENTO);2.4;2.64;2.88
0007442;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 10 (SEMAFOROS);2.4;2.64;2.88
0007443;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 11 (CURVA DERECHA);2.4;2.64;2.88
0007444;PANEL DE SEÑALIZACION TRAFICO DE PELIGRO Nº 12 (CURVA IZQUIERDA);2.4;2.64;2.88
0007445;PANEL DE SEÑALIZACION TRAFICO DE PROHIBICION Nº 1 (DIRECCION);2.4;2.64;2.88
0007446;PANEL DE SEÑALIZACION TRAFICO DE PROHIBICION Nº 2 (CICLOS);2.4;2.64;2.88
0007447;PANEL DE SEÑALIZACION TRAFICO DE PROHIBICION Nº 3 (ESTACIONAMIENTO);2.4;2.64;2.88
0007448;PANEL DE SEÑALIZACION TRAFICO DE PROHIBICION Nº 4 (GIRO DCHA);2.4;2.64;2.88
0007449;PANEL DE SEÑALIZACION TRAFICO DE PROHIBICION Nº 5 (GIRA IZQA);2.4;2.64;2.88
0007450;PANEL DE SEÑALIZACION TRAFICO DE OBLIGACION Nº 1 (SENTIDO);2.4;2.64;2.88
0007451;PANEL DE SEÑALIZACION TRAFICO DE OBLIGACION Nº 2 (SENTIDO DCHA);2.4;2.64;2.88
0007452;PANEL DE SEÑALIZACION TRAFICO DE OBLIGACION Nº 3 (PEATONES);2.4;2.64;2.88
0007453;PANEL DE SEÑALIZACION TRAFICO DE OBLIGACION Nº 4 (INTERSECCION);2.4;2.64;2.88
0007454;PANEL DE SEÑALIZACION TRAFICO DE INDICACION Nº 1 (PUESTO SOCORRO);2.4;2.64;2.88
0007455;PANEL DE SEÑALIZACION TRAFICO DE INDICACION Nº 2 (TELEFONO);2.4;2.64;2.88
0007456;PANEL DE SEÑALIZACIÓN TRAFICO DE INDICACIÓN Nº 3 (PASO PEATONES);2.4;2.64;2.88
0007457;PANEL DE SEÑALIZACION TRAFICO DE INDICACION Nº 4 (ESTACIONAMIENTO);2.4;2.64;2.88
0007458;PANEL DE SEÑALIZACION TRAFICO DE INDICACION Nº 5 (AUTOPISTA);2.4;2.64;2.88
0007496;REGLA CON ACOPLE PARA CONO DE 32, 40 Y 50 CM CON SOPORTE PARA PICA Y ARO;1.55;1.71;1.86
0007497;CARRO CON RUEDAS PARA CONOS;35;38.5;42
0007511;PIEZA UNIÓN ARO POLIGONAL 3 PARTES;1.25;1.38;1.5
0007565;MUEBLE PARA PICAS;28.9;28.9;33.24
0007566;SOPORTE MADERA PARA 15 PICAS;39.2;39.2;48.61
0007567;CARRO PORTAMATERIAL MADERA;120;120;148.8
0008001;PELOTA REACCIÓN 3 CUERPOS;1.73;1.9;2.08
0008201;PASILLO SENSORIAL RECTO;26.95;29.65;32.34
0008202;PASILLO SENSORIAL CURVO;26.95;29.65;32.34
0008207;PIEZA PASILLO SENSORIAL RECTO;2.83;3.11;3.4
0008208;PIEZA PASILLO SENSORIAL CURVO;2.83;3.11;3.4
0008600;BARRA DE DANZA DE 50 MM -METRO LINEAL- (MADERA DE HAYA) ;15.02;15.02;17.27
0008601;SOPORTE METALICO A LA PARED PARA BARRA DE DANZA -UNIDAD-;15;15;17.25
0008602;SOPORTE METALICO GRADUABLE EN ALTURA PARA  BARRA DE DANZA -UNIDAD-   ;38;38;43.7
0009001;JUEGO DE 4 BANDERINES CÓRNER FLEXIBLE;35;38.5;42
0009003;POSTE CÓRNER FLEXIBLE-UNIDAD;9.62;10.58;11.54
0009004;REPUESTO BANDERÍN CÓRNER;5;5.5;6
0009005;CLIP PARA BANDERÍN DE CÓRNER;0.48;0.53;0.58
0009007;JUEGO 2 BANDERINES LINIER BASIC;4.95;5.45;5.94
0009021;JUEGO 2 BANDERINES LINIER;6.55;7.21;7.86
0009022;REPUESTO BANDERÍN LINIER;2.5;2.75;3
0009030;SISTEMA PUNTERÍA FÚTBOL SOFTEE;11.95;13.15;14.34
0009031;GOAL KEEPER NET SOFTEE;17.99;19.79;21.59
0009032;PORTERÍA AUTODESPLEGABLE;6.95;7.65;8.34
0009033;SET 25 CÍRCULOS MARCAJE;14.99;16.49;17.99
0009034;PARAVIENTOS SOFTEE -AZUL;9.95;10.95;11.94
0009035;JUGADOR BARRERA HINCHABLE AMARILLO FLÚOR;17.8;19.58;21.36
0009036;JUGADOR BARRERA SOFTEE;29.99;32.99;35.99
0009037;SOPORTE JUGADOR BARRERA SOFTEE;9.95;10.95;11.94
0009038;SISTEMA GOLPEO BALÓN;74.5;81.95;89.4
0009039;ELÁSTICO PARA CONTROL DE BALÓN SOFTEE;5.32;5.85;6.38
0009040;ASPA AGILIDAD;2.95;3.25;3.54
0009042;ESCALERA AGILIDAD AROS MULTICOLOR;9.5;10.45;11.4
0009098;PIEZA SOPORTE CONOS CHINOS;2.5;2.75;3
0009138;VINILO Nº 0 PARA CONO (MEDIDA 7,80 X 12,90 CM) BLANCO;0.5;0.55;0.6
0009139;VINILO Nº 1 PARA CONO (MEDIDA 4,40 X 12,70 CM)  BLANCO;0.5;0.55;0.6
0009140;VINILO Nº 0 PARA CONO (MEDIDA 7,80 X 12,90 CM) NEGRO;0.5;0.55;0.6
0009141;VINILO Nº 1 PARA CONO (MEDIDA 4,40 X 12,70 CM) NEGRO;0.5;0.55;0.6
0009142;VINILO Nº 2 PARA CONO (MEDIDA 7,90 X 12,70 CM) NEGRO;0.5;0.55;0.6
0009143;VINILO Nº 3 PARA CONO (MEDIDA 7,80 X 12,90 CM) NEGRO;0.5;0.55;0.6
0009144;VINILO Nº 4 PARA CONO (MEDIDA 8,30 X 12,70 CM) NEGRO;0.5;0.55;0.6
0009145;VINILO Nº 5 PARA CONO (MEDIDA 7,90 X 12,70 CM) NEGRO;0.5;0.55;0.6
0009146;VINILO Nº 6 PARA CONO (MEDIDA 7,90 X 12,90 CM) NEGRO;0.5;0.55;0.6
0009147;VINILO Nº 7 PARA CONO (MEDIDA 7,70 X 12,50 CM) NEGRO;0.5;0.55;0.6
0009148;VINILO Nº 8 PARA CONO (MEDIDA 7,80 X 12,90 CM) NEGRO;0.5;0.55;0.6
0009149;VINILO Nº 9 PARA CONO (MEDIDA 7,80 X 12,90 CM) NEGRO;0.5;0.55;0.6
0009150;VINILO IGUAL PARA CONO (MEDIDA 9,60 X 7,90 CM) NEGRO;0.5;0.55;0.6
0009151;VINILO MULTIPLICACION PARA CONO (MEDIDA 10,10 X 11,50 CM) NEGRO;0.5;0.55;0.6
0009152;VINILO DIVISION PARA CONO (MEDIDA 11,40 X 9,70 CM) NEGRO;0.5;0.55;0.6
0009153;VINILO SUMA PARA CONO (MEDIDA 11,80 X 12,50 CM) NEGRO;0.5;0.55;0.6
0009154;VINILO RESTA PARA CONO (MEDIDA 9,50 X 2,30 CM) NEGRO;0.5;0.55;0.6
0009155;VINILO CERDITO PARA CONO (MEDIDA 10,90 X 12 CM) NEGRO;0.6;0.66;0.72
0009156;VINILO COCODRILO PARA CONO (MEDIDA 12 X 9,40 CM) NEGRO;0.6;0.66;0.72
0009157;VINILO FOQUITA PARA CONO (MEDIDA 12 X 12 CM) NEGRO;0.6;0.66;0.72
0009158;VINILO HIPOPOTAMO PARA CONO (MEDIDA 12 X 8,80 CM) NEGRO;0.6;0.66;0.72
0009159;VINILO OSITO PARA CONO (MEDIDA 12 X 8,60 CM) NEGRO;0.6;0.66;0.72
0009160;VINILO CARACOL PARA CONO (MEDIDA 12 X 12 CM) NEGRO;0.6;0.66;0.72
0009169;VINILO Nº 2 PARA CONO (MEDIDA 7,90 X 12,70 CM) BLANCO;0.5;0.55;0.6
0009170;VINILO Nº 3 PARA CONO (MEDIDA 7,80 X 12,90 CM) BLANCO;0.5;0.55;0.6
0009171;VINILO Nº 4 PARA CONO (MEDIDA 8,30 X 12,70 CM) BLANCO;0.5;0.55;0.6
0009172;VINILO Nº 5 PARA CONO (MEDIDA 7,90 X 12,70 CM) BLANCO;0.5;0.55;0.6
0009173;VINILO Nº 6 PARA CONO (MEDIDA 7,90 X 12,90 CM) BLANCO;0.5;0.55;0.6
0009174;VINILO Nº 7 PARA CONO (MEDIDA 7,70 X 12,50 CM) BLANCO;0.5;0.55;0.6
